(all) fucked up	(total) im Arsch
put a lot of work into something	etwas mit großem Arbeitsaufwand erreichen
(in a fit of) violent temper	Jähzorn (im)
(intellectual) flight	Höhenflug
service(s) company	Dienstleistungsunternehmen
registration document	Kraftfahrzeugbrief
wink	(mit einem) Augenzwinkern
due diligence	mit der gebührenden Sorgfalt
suit	Kostüm
team	Arbeitsgruppe
freak	Fanatiker
a	ein
a bad risc	ein erhöhtes Risiko
a bag of nerves	ein Nervenbündel
a big shot	ein großes Tier [fig.]
a bit	ein bißchen
a bolt from the blue	ein Blitz aus heiterem Himmel
a booming city	eine Stadt mit Aufschwung
a born fool	ein völliger Narr
A breeze has sprung up.	Ein leichter Wind ist aufgekommen.
a broad laughter	schallendes Gelächter
a cake of soap	ein Stück Seife
a cheap trick	ein übler Streich
a clever move	ein kluger Schachzug
a cock-and-bull story	ein Ammenmärchen
a constant check is kept on	unter ständiger Kontrolle stehen
a couple of days	einige Tage
a dark horse	ein unbeschriebenes Blatt
a dark secret	ein tiefes Geheimnis
a daughter of Eve	eine typische Frau
a dish of ice-cream	eine Portion Eis
a distinction without difference	Haarspalterei
a drop in the bucket	ein Tropfen auf dem heißen Stein
a fair sum	eine nette Summe
a fair swindle	ein glatter Betrug
a false key	ein Nachschlüssel
a fast friend	ein treuer Freund
a fatal accident	ein tödlicher Unfall
a few	ein paar
a few steps from here	ganz in der Nähe
a few times	ein paarmal
a fine day for ducks	ein regnerischer Tag
A fine excuse!	Eine hübsche Ausrede!
a fine figure of a man	ein stattliches Mannsbild
A fine friend you are!	Du bist mir ein feiner Freund!
a flash in the pan	eine Eintagsfliege
a flight of stairs	eine Treppe
a flight of steps	Treppe
a fortune	Heidengeld
a friendly turn	ein Freundschaftsdienst
a game of chess	eine Partie Schach
a glass of water	ein Glas Wasser
A glorious mess!	Ein schönes Chaos!
a good bargain	ein guter Kauf
a good buy	ein guter Kauf
a good deal	sehr viel
a good many	eine ganze Menge
a good many times	ziemlich oft
a good reputation	ein guter Ruf
a good stroke of business	ein gutes Geschäft
a good-for-nothing	ein Taugenichts
a great deal	sehr viel
a great deal of work	großes Pensum
a great many	sehr viele
a haunt house	ein Spukhaus
a heart of flint	ein Herz aus Stein
a hen party	ein Kaffeekränzchen
a hot temper	ein hitziges Temperament
a kept woman	eine Mätresse
a killing glance	ein vernichtender Blick
a lady of easy virtue	ein leichtes Mädchen
a leap in the dark	ein Sprung ins Ungewisse
a level teaspoon	ein gestrichener Teelöffel
a little	bisschen
a long spell of fine weather	eine lange Zeit schönen Wetters
a long time	lange
a long time ago	schon lange
a long way off	weit weg
a long way round	ein großer Umweg
a lot easier	viel leichter
a lot of	vielen
a lovely spot	ein schönes Fleckchen Erde
a mad rush for	eine wilde Jagd nach
a major difference	ein wesentlicher Unterschied
a man of genius	ein genialer Mann
a man of straw	ein Strohmann
a man of vast reading	ein sehr belesener Mann
a man of your inches	ein Mann von Ihrer Statur
a matter of course	eine Selbstverständlichkeit
a matter of national concern	ein nationales Anliegen
a matter of records	eine verbürgte Tatsache
a means to an end	ein Mittel zum Zweck
a name to conjure with	der Wunder wirkt
a naughty little beggar	ein kleiner Schelm
A new broom sweeps clean.	Neue Besen kehren gut.
a nice how-d ye-do	eine schöne Bescherung
a nice mess	Bescherung
a non juring	eidverweigernd
a pack of cards	ein Spiel Karten
a pack of lies	ein Haufen Lügen
a pair of compasses	ein Zirkel
a pair of scissors	eine Schere
a pair of tongs	eine Zange
a pair of trousers	eine Hose
a paltry three shillings	lumpige drei Schillinge
a part-time job	eine Halbtagsstelle
a patience of job	eine Engelsgeduld
a perfect dream	traumhaft schön
a piece of advice	ein Rat
a place in the sun	ein Platz in der Sonne
a plain sailing	eine klare Sache
a point of honour	eine Ehrensache
a pointed remark	eine spitze Bemerkung
